CustomerID,BirthYear,Age,Education,Marital_Status,Income,NumberOfKidsAtHome,NumberOfTeensAtHome,TotalNumberOfChildren,EnrollmentDate,DaysSinceEnrollment,Recency,HasComplained,AmountSpentOnWines,AmountSpentOnFruits,AmountSpentOnMeat,AmountSpentOnFish,AmountSpentOnSweets,AmountSpentOnGold,TotalSpending,NumberOfDealsPurchases,NumberOfWebPurchases,NumberOfCatalogPurchases,NumberOfStorePurchases,TotalNumberOfPurchases,NumberOfWebVisitsPerMonth,AcceptedCampaign1,AcceptedCampaign2,AcceptedCampaign3,AcceptedCampaign4,AcceptedCampaign5,AcceptedLastCampaign,TotalAcceptedCampaigns
4047,1954,60,PhD,Married,65324,0,1,1,2014-01-11,169,0,0,384,0,102,21,32,5,544,3,6,2,9,20,4,0,0,0,0,0,0,0
1409,1951,63,Graduation,Together,40689,0,1,1,2013-03-18,468,69,0,270,3,27,39,6,99,444,7,7,1,5,20,8,0,0,0,0,0,0,0
7892,1969,45,Graduation,Single,18589,0,0,0,2013-01-02,543,89,0,6,4,25,15,12,13,75,2,2,1,3,8,7,0,0,0,0,0,0,0
2404,1976,38,Graduation,Married,53359,1,1,2,2013-05-27,398,4,0,173,4,30,3,6,41,257,4,5,1,4,14,7,0,0,0,0,0,0,0
5255,1986,28,Graduation,Single,0,1,0,1,2013-02-20,494,19,0,5,1,3,3,263,362,637,0,27,0,0,27,1,0,0,0,0,0,0,0
9422,1989,25,Graduation,Married,38360,1,0,1,2013-05-31,394,26,0,36,2,42,20,21,10,131,2,2,1,4,9,3,0,0,0,0,0,0,0
1966,1965,49,PhD,Married,84618,0,0,0,2013-11-22,219,96,0,684,100,801,21,66,0,1672,1,6,9,10,26,2,0,0,0,0,1,0,1
6864,1989,25,Master,Divorced,10979,0,0,0,2014-05-22,38,34,0,8,4,10,2,2,4,30,2,3,0,3,8,5,0,0,0,0,0,0,0
3033,1963,51,Master,Together,38620,0,0,0,2013-05-11,414,56,0,112,17,44,34,22,89,318,1,2,5,3,11,3,0,0,0,0,0,0,0
5710,1970,44,Graduation,Together,40548,0,1,1,2012-10-10,627,31,0,110,0,5,2,0,3,120,2,2,1,4,9,5,0,0,0,1,0,0,1
7373,1952,62,PhD,Divorced,46610,0,2,2,2012-10-29,608,8,0,96,12,96,33,22,43,302,6,4,1,6,17,6,0,0,0,0,0,1,1
8755,1946,68,Master,Married,68657,0,0,0,2013-02-20,494,4,0,482,34,471,119,68,22,1196,1,3,5,9,18,7,0,0,0,0,0,0,0
10738,1951,63,Master,Single,49389,1,1,2,2013-08-29,304,55,0,40,0,19,2,1,3,65,1,2,0,3,6,7,0,0,0,0,0,0,0
4339,1970,44,PhD,Married,67353,0,1,1,2013-12-31,180,37,0,702,17,151,0,8,35,913,5,5,6,12,28,2,0,0,0,0,0,0,0
10755,1976,38,2n Cycle,Married,23718,1,0,1,2013-09-02,300,76,0,6,3,14,15,7,36,81,3,3,1,2,9,7,0,0,0,0,0,0,0
8595,1973,41,Graduation,Widow,42429,0,1,1,2014-02-11,138,99,0,55,0,6,2,0,4,67,2,1,1,3,7,5,0,0,0,0,0,0,0
2968,1943,71,PhD,Divorced,48948,0,0,0,2013-02-01,513,53,0,437,8,206,160,49,42,902,2,7,10,5,24,6,0,0,1,0,0,1,2
8601,1980,34,Graduation,Married,80011,0,1,1,2013-04-29,426,3,0,421,76,536,82,178,102,1395,2,8,6,5,21,4,0,0,0,0,0,0,0
503,1985,29,Master,Married,20559,1,0,1,2013-03-12,474,88,0,13,1,29,3,0,7,53,2,2,0,3,7,8,0,0,0,0,0,0,0
8430,1957,57,Graduation,Together,21994,0,1,1,2012-12-24,552,4,0,9,0,6,3,1,3,22,1,0,0,3,4,5,0,0,0,0,0,0,0
7281,1959,55,PhD,Single,0,0,0,0,2013-11-05,236,80,0,81,11,50,3,2,39,186,1,1,3,4,9,2,0,0,0,0,0,0,0
2139,1975,39,Master,Married,7500,1,0,1,2013-10-02,270,19,0,3,1,10,3,2,12,31,3,2,0,3,8,5,0,0,0,0,0,0,0
1371,1976,38,Graduation,Single,79941,0,0,0,2014-06-28,1,72,0,123,164,266,227,30,174,984,1,2,4,9,16,1,0,0,0,0,0,0,0
9909,1996,18,2n Cycle,Married,7500,0,0,0,2012-11-09,597,24,0,3,18,14,15,22,50,122,3,3,1,3,10,9,0,0,0,0,0,1,1
7286,1968,46,Graduation,Together,41728,1,0,1,2013-05-24,401,92,0,13,6,15,3,5,13,55,1,2,0,2,5,10,0,0,0,0,0,0,0
7244,1951,63,Graduation,Single,0,2,1,3,2014-01-01,179,96,0,48,5,48,6,10,7,124,3,2,1,4,10,6,0,0,0,0,0,0,0
6566,1954,60,PhD,Married,72550,1,1,2,2012-11-08,598,39,0,826,50,317,50,38,38,1319,9,5,2,12,28,8,0,0,0,0,0,0,0
8614,1957,57,Graduation,Widow,65486,0,1,1,2014-05-12,48,29,0,245,19,125,37,67,14,507,1,4,2,10,17,2,0,0,0,0,0,0,0
4114,1964,50,Master,Married,79143,0,0,0,2012-08-11,687,2,0,650,37,780,27,167,32,1693,1,6,9,13,29,3,0,0,0,0,0,0,0
1331,1977,37,Graduation,Single,35790,1,0,1,2013-01-02,543,54,0,12,6,20,30,1,3,72,2,2,0,3,7,7,0,0,0,0,0,0,0
2225,1977,37,Graduation,Divorced,82582,0,0,0,2014-06-07,22,54,0,510,120,550,156,40,241,1617,1,4,9,7,21,1,1,0,1,0,0,1,3
9381,1978,36,Graduation,Married,66373,1,1,2,2013-06-12,382,57,0,328,9,124,12,24,109,606,7,4,2,10,23,3,0,0,0,0,0,0,0
6260,1955,59,Master,Together,82384,0,0,0,2012-11-19,587,55,0,984,51,432,180,120,190,1957,1,3,10,13,27,1,0,0,0,0,1,1,2
10383,1966,48,Graduation,Divorced,70287,0,0,0,2013-04-02,453,30,0,295,35,482,121,120,40,1093,1,5,5,10,21,3,0,0,0,0,0,1,1
7437,1988,26,Graduation,Single,27938,1,0,1,2014-04-28,62,31,0,13,0,8,2,1,5,29,1,1,0,4,6,3,0,0,0,0,0,0,0
8557,1982,32,Graduation,Single,0,1,0,1,2013-06-17,377,57,0,11,3,22,2,2,6,46,2,2,0,3,7,6,0,0,0,0,0,0,0
8375,1968,46,PhD,Married,55954,0,1,1,2014-03-03,118,63,0,447,0,28,0,0,43,518,3,8,2,6,19,7,0,0,0,0,0,0,0
6853,1982,32,Master,Single,75777,0,0,0,2013-07-04,360,12,0,712,26,538,69,13,80,1438,1,3,6,11,21,1,0,0,0,1,1,1,3
3076,1975,39,Graduation,Together,66653,1,1,2,2012-09-07,660,18,0,452,18,102,16,18,6,612,4,4,2,12,22,3,0,0,0,0,0,0,0
1012,1952,62,Graduation,Single,61823,0,1,1,2013-02-18,496,26,0,523,7,134,37,14,169,884,4,8,2,10,24,7,0,0,0,0,0,0,0
6518,1951,63,PhD,Widow,67680,0,1,1,2013-06-11,383,8,0,546,0,48,0,6,6,606,1,7,3,8,19,5,0,0,0,0,0,0,0
4137,1948,66,Graduation,Together,70666,0,0,0,2013-12-06,205,29,0,398,40,367,119,122,30,1076,1,7,4,4,16,4,0,0,0,0,0,0,0
8082,1971,43,Graduation,Married,25721,1,0,1,2013-05-21,404,75,0,1,3,6,3,6,15,34,1,1,1,2,5,7,0,0,0,0,0,1,1
1386,1967,47,Graduation,Together,32474,1,1,2,2014-05-11,49,0,0,10,0,1,0,0,0,11,1,1,0,2,4,7,0,0,0,0,0,0,0
9369,1979,35,2n Cycle,Single,88194,0,1,1,2014-03-19,102,19,0,688,14,309,201,24,38,1274,1,11,10,10,32,5,1,0,1,0,0,1,3
4477,1958,56,Graduation,Together,69096,0,1,1,2013-09-27,275,4,0,247,49,159,7,82,109,653,1,5,2,10,18,4,0,0,0,0,0,0,0
1357,1970,44,Graduation,Together,74854,1,2,3,2013-04-08,447,90,0,856,59,487,58,29,73,1562,7,2,5,5,19,5,0,0,0,0,0,0,0
1402,1954,60,Master,Married,66991,0,0,0,2012-09-11,656,1,0,496,36,460,189,60,12,1253,3,4,8,6,21,3,0,0,0,0,0,0,0
10629,1973,41,2n Cycle,Married,0,1,0,1,2012-09-14,653,25,0,25,3,43,17,4,17,109,3,3,0,3,9,8,0,0,0,0,0,0,0
6312,1959,55,Graduation,Married,65031,0,1,1,2013-03-17,469,29,0,258,107,291,84,37,86,863,4,10,3,13,30,7,0,0,0,0,0,0,0
8132,1975,39,PhD,Married,60631,1,1,2,2013-04-05,450,88,0,565,6,65,0,6,19,661,5,9,2,8,24,7,0,0,0,1,0,0,1
1050,1952,62,Graduation,Married,28332,0,0,0,2014-04-30,60,58,0,14,10,13,4,15,9,65,1,2,1,4,8,2,0,0,0,0,0,0,0
5846,1977,37,Graduation,Divorced,40246,1,0,1,2012-12-19,557,68,0,2,1,6,2,1,1,13,1,1,0,2,4,6,0,0,0,0,0,0,0
1859,1972,42,Master,Married,75251,0,0,0,2012-08-27,671,34,0,721,111,925,97,18,18,1890,1,7,6,5,19,5,0,0,0,0,0,1,1
7503,1976,38,Graduation,Single,75825,0,0,0,2012-10-12,625,40,0,1032,105,779,137,105,51,2209,0,5,8,9,22,4,0,0,1,0,0,1,2
10401,1976,38,2n Cycle,Together,26326,0,0,0,2013-09-04,298,12,1,1,0,5,0,3,9,18,1,0,0,3,4,3,0,0,0,0,0,0,0
1618,1965,49,Graduation,Together,56046,0,0,0,2013-01-02,543,9,0,577,0,64,0,0,51,692,2,10,1,8,21,8,0,0,1,0,0,1,2
3332,1985,29,Graduation,Single,29760,1,0,1,2012-08-29,669,87,0,64,4,68,7,5,17,165,4,3,1,4,12,8,0,0,0,0,0,0,0
2261,1969,45,Graduation,Married,26304,1,0,1,2013-06-23,371,5,0,4,1,5,2,0,4,16,1,1,0,2,4,7,0,0,0,0,0,0,0
5346,1973,41,2n Cycle,Married,23559,1,0,1,2013-07-03,361,87,0,25,5,19,7,0,23,79,3,3,0,3,9,7,0,0,0,0,0,0,0
4119,1963,51,Master,Together,38620,0,0,0,2013-05-11,414,56,0,112,17,44,34,22,89,318,1,2,5,3,11,3,0,0,0,0,0,0,0
535,1987,27,Graduation,Divorced,81361,0,0,0,2014-02-25,124,18,0,163,23,424,27,65,76,778,1,3,10,13,27,1,0,0,0,0,0,0,0
5268,1960,54,Graduation,Married,29440,1,1,2,2013-08-11,322,95,0,17,8,14,10,4,3,56,2,1,0,4,7,7,0,0,0,0,0,0,0
273,1970,44,Master,Married,36138,1,1,2,2013-07-16,348,48,0,130,0,16,0,0,5,151,5,3,1,4,13,7,0,0,0,1,0,0,1
4452,1957,57,Graduation,Single,50388,0,1,1,2014-05-28,32,3,0,292,6,37,0,3,34,372,4,6,1,6,17,7,1,0,0,1,0,1,3
8504,1973,41,Graduation,Married,79593,0,0,0,2014-05-12,48,70,0,350,60,568,110,133,145,1366,1,5,6,7,19,2,0,0,0,0,1,0,1
771,1967,47,Graduation,Together,54178,0,1,1,2014-01-21,159,79,0,135,9,39,4,0,7,194,1,2,2,5,10,2,0,0,0,0,0,0,0
8996,1957,57,PhD,Married,0,2,1,3,2012-11-19,587,4,0,230,42,192,49,37,53,603,12,7,2,8,29,9,0,0,0,0,0,0,0
9235,1957,57,Graduation,Single,0,1,1,2,2014-05-27,33,45,0,7,0,8,2,0,1,18,1,1,0,2,4,7,0,0,0,0,0,0,0
5798,1973,41,Master,Together,0,0,0,0,2013-11-23,218,87,0,445,37,359,98,28,18,985,1,2,4,8,15,1,0,0,0,0,0,0,0
11178,1972,42,Master,Single,42394,1,0,1,2014-03-23,98,69,0,15,2,10,0,1,4,32,1,1,0,3,5,7,0,0,0,0,0,0,0
2230,1970,44,PhD,Married,23626,1,0,1,2014-05-24,36,84,0,27,2,14,0,0,0,43,3,3,1,3,10,5,0,0,0,0,0,0,0
7516,1983,31,Graduation,Married,30096,1,0,1,2014-05-22,38,30,0,5,3,11,12,5,9,45,1,2,0,3,6,6,0,0,0,0,0,0,0
7247,1960,54,Graduation,Widow,47916,0,1,1,2012-11-22,584,72,0,505,0,26,0,0,75,606,5,7,4,6,22,6,0,0,0,1,0,0,1
11100,1972,42,Graduation,Divorced,51813,1,1,2,2013-04-11,444,37,0,51,2,7,0,1,2,63,2,2,0,3,7,7,0,0,0,0,0,0,0
4646,1951,63,2n Cycle,Married,78497,0,0,0,2013-12-01,210,44,0,207,26,447,75,0,223,978,1,5,7,12,25,2,1,0,0,0,0,0,1
3037,1983,31,PhD,Married,50150,0,0,0,2013-06-20,374,32,0,135,46,92,65,61,11,410,2,5,2,7,16,5,0,0,0,0,0,0,0
1473,1960,54,2n Cycle,Single,47823,0,1,1,2013-07-23,341,0,0,53,1,5,2,1,10,72,2,2,0,3,7,8,0,0,0,0,0,0,0
1016,1959,55,PhD,Single,34554,0,1,1,2014-03-30,91,43,0,41,1,6,2,0,5,55,2,2,0,3,7,6,0,0,0,0,0,0,0
4518,1979,35,Graduation,Together,85693,0,1,1,2013-04-20,435,59,0,386,172,183,185,132,111,1169,2,9,5,11,27,5,0,0,0,0,0,0,0
9370,1945,69,PhD,Married,65846,0,0,0,2013-05-17,408,68,0,562,81,276,80,40,81,1120,1,6,3,6,16,4,0,0,0,0,0,0,0
8908,1959,55,Graduation,Married,87195,0,0,0,2014-05-08,52,35,0,217,76,690,50,26,38,1097,1,3,11,5,20,1,0,0,0,0,0,1,1
8373,1979,35,Basic,Together,24594,1,0,1,2013-12-10,201,94,0,1,3,6,10,0,9,29,1,1,0,3,5,5,0,0,0,0,0,0,0
7533,1964,50,Graduation,Married,49096,1,1,2,2013-09-24,278,15,0,144,1,32,2,1,7,187,4,4,1,4,13,7,0,0,0,0,0,0,0
2683,1969,45,Graduation,Married,52413,0,2,2,2013-02-02,512,56,0,295,106,271,75,98,65,910,4,6,4,12,26,6,0,0,0,0,0,0,0
3629,1978,36,Graduation,Single,38557,1,0,1,2012-12-19,557,17,0,76,3,31,4,4,27,145,2,3,1,3,9,7,0,0,0,0,0,0,0
10991,1960,54,Master,Married,89058,0,0,0,2012-12-07,569,18,0,454,194,106,31,22,43,850,1,5,4,4,14,2,0,0,0,0,0,0,0
5077,1979,35,Graduation,Together,77298,0,1,1,2013-11-02,239,46,0,425,115,292,23,35,79,969,1,6,6,11,24,3,0,0,0,0,0,0,0
7431,1991,23,PhD,Single,68126,0,0,0,2012-11-10,596,40,0,1332,17,311,23,51,86,1820,1,7,4,5,17,9,0,0,0,1,0,1,2
3267,1963,51,Master,Together,57288,0,1,1,2014-06-25,4,27,0,527,0,21,0,0,60,608,3,8,1,8,20,6,0,0,0,1,0,0,1
999,1991,23,Graduation,Single,86037,0,0,0,2013-01-02,543,95,0,490,44,125,29,20,22,730,1,6,7,11,25,3,0,0,0,1,1,1,3
9215,1980,34,PhD,Married,43974,1,0,1,2012-12-12,564,19,0,378,0,101,0,0,72,551,5,6,4,6,21,7,0,0,0,0,0,0,0
2286,1962,52,Graduation,Single,50785,1,1,2,2013-09-10,292,27,0,64,1,21,0,1,27,114,2,2,1,3,8,6,0,0,0,0,0,0,0
1592,1970,44,Graduation,Married,90765,0,0,0,2014-01-24,156,25,0,547,99,812,151,82,33,1724,0,4,6,5,15,1,1,0,0,0,1,0,2
367,1978,36,2n Cycle,Married,36550,1,0,1,2013-02-19,495,74,0,47,90,94,123,103,120,577,5,9,1,5,20,9,0,0,0,0,0,0,0
5234,1967,47,2n Cycle,Together,30753,1,1,2,2013-07-11,353,85,0,12,5,25,0,9,30,81,2,1,1,3,7,5,0,0,0,0,0,0,0
9862,1969,45,Graduation,Together,21918,1,0,1,2013-11-14,227,37,0,1,6,7,11,5,3,33,2,2,0,3,7,6,0,0,0,0,0,0,0
9805,1953,61,Master,Together,56129,0,1,1,2013-06-20,374,65,0,320,48,133,39,72,48,660,4,6,2,10,22,4,0,0,0,0,0,0,0
6205,1967,47,Master,Single,32557,1,0,1,2014-02-24,125,13,0,34,3,29,0,4,10,80,3,2,1,3,9,5,0,0,0,0,0,1,1
8442,1985,29,Master,Married,19510,2,0,2,2013-09-04,298,63,0,9,0,7,3,4,7,30,2,1,0,3,6,7,0,0,0,0,0,0,0
7386,1976,38,Graduation,Divorced,30992,1,0,1,2013-04-22,433,83,0,17,0,14,7,3,2,43,1,1,0,3,5,7,0,0,0,0,0,0,0
7215,1983,31,Graduation,Single,101970,0,0,0,2013-03-12,474,69,0,722,27,102,44,72,168,1135,0,6,8,13,27,2,1,0,0,1,1,1,4
1491,1965,49,2n Cycle,Together,71488,0,0,0,2013-02-18,496,87,0,162,33,124,40,28,172,559,2,3,4,7,16,1,0,0,0,0,0,0,0
11071,1984,30,Graduation,Single,79607,0,0,0,2013-04-21,434,37,0,450,133,951,173,0,216,1923,1,3,6,6,16,1,0,0,0,0,0,1,1
3381,1953,61,Master,Married,54348,1,1,2,2014-06-08,21,51,0,70,0,16,0,0,4,90,2,2,0,4,8,6,0,0,0,0,0,0,0
8268,1961,53,PhD,Married,0,0,1,1,2013-07-11,353,23,0,352,0,27,10,0,15,404,3,6,1,7,17,6,0,0,0,0,0,0,0
11051,1956,58,PhD,Together,77376,1,1,2,2014-05-10,50,72,0,492,19,110,16,12,12,661,4,6,3,10,23,4,0,0,0,0,0,0,0
8026,1952,62,Graduation,Married,62998,0,1,1,2013-09-30,272,10,0,120,58,73,65,89,58,463,5,5,4,5,19,5,0,0,0,0,0,0,0
433,1958,56,Master,Alone,61331,1,1,2,2013-03-10,476,42,0,534,5,47,0,5,41,632,5,11,1,6,23,8,0,0,0,0,0,0,0
9597,1969,45,Graduation,Married,73448,0,0,0,2014-02-10,139,10,0,236,106,189,23,41,130,725,1,7,2,9,19,4,0,0,0,0,0,0,0
1295,1963,51,Graduation,Married,0,0,1,1,2013-08-11,322,96,0,231,65,196,38,71,124,725,1,6,5,7,19,4,0,0,0,0,0,0,0
5290,1964,50,PhD,Married,41551,1,1,2,2013-08-14,319,51,0,220,0,33,3,0,23,279,5,5,1,5,16,8,0,0,0,0,0,0,0
1685,1967,47,PhD,Together,62981,0,0,0,2013-03-17,469,21,0,796,14,590,38,44,0,1482,1,4,5,13,23,3,0,0,0,1,0,0,1
5342,1976,38,Basic,Divorced,9548,1,0,1,2012-08-08,690,31,0,0,1,3,10,6,9,29,2,1,0,3,6,8,0,0,0,0,0,0,0
9579,1959,55,PhD,Married,33762,2,1,3,2013-07-07,357,61,0,53,1,34,2,0,16,106,3,2,2,2,9,8,0,0,0,0,0,0,0
7660,1973,41,PhD,Alone,35860,1,1,2,2014-05-19,41,37,0,15,0,8,4,2,20,49,2,1,1,2,6,5,0,0,1,0,0,1,2
1461,1965,49,PhD,Divorced,36921,1,1,2,2013-07-28,336,74,0,17,1,12,3,1,4,38,2,2,0,3,7,7,0,0,0,0,0,0,0
821,1992,22,Master,Single,92859,0,0,0,2012-10-19,618,46,0,962,61,921,52,61,20,2077,1,5,4,12,22,2,0,0,0,0,0,0,0
11084,1976,38,Master,Together,65104,0,1,1,2013-11-14,227,4,0,738,0,232,13,20,50,1053,2,3,5,7,17,7,0,0,0,0,0,1,1
8690,1962,52,Graduation,Married,86111,0,0,0,2013-04-19,436,73,0,399,28,756,36,40,126,1385,1,5,7,10,23,2,0,0,0,0,0,0,0
2937,1974,40,PhD,Single,68352,0,1,1,2013-08-28,305,47,0,614,16,132,43,33,33,871,3,8,5,9,25,6,0,0,0,0,0,0,0
9701,1988,26,Graduation,Together,41883,1,0,1,2013-03-19,467,13,0,32,34,41,73,16,116,312,3,4,2,3,12,7,0,0,0,0,0,0,0
9949,1976,38,Graduation,Married,59809,0,2,2,2012-10-18,619,36,0,598,16,141,32,41,49,877,3,3,3,6,15,8,0,0,0,0,0,0,0
10837,1975,39,Graduation,Married,23957,1,0,1,2012-10-28,609,47,0,2,1,18,20,11,16,68,1,2,0,3,6,6,0,0,0,0,0,1,1
3120,1981,33,Graduation,Together,38547,1,0,1,2013-08-28,305,49,1,6,1,10,0,1,4,22,1,1,0,2,4,8,0,0,0,0,0,0,0
5885,1973,41,2n Cycle,Married,35688,2,1,3,2012-08-22,676,94,0,73,3,90,12,1,32,211,7,4,1,4,16,8,0,0,0,0,0,0,0
4050,1966,48,Master,Married,49605,0,0,0,2014-06-21,8,65,0,42,16,29,12,20,8,127,1,2,1,4,8,3,0,0,0,0,0,0,0
3830,1953,61,Master,Married,59354,0,2,2,2014-04-24,66,59,0,295,21,78,39,13,13,459,1,4,4,7,16,3,0,0,0,0,0,0,0
7987,1969,45,Graduation,Married,65747,0,1,1,2014-03-07,114,96,0,346,17,48,23,13,13,460,4,8,1,6,19,6,0,0,0,1,0,0,1
7798,1972,42,2n Cycle,Together,46344,0,1,1,2012-12-14,562,28,0,233,20,57,8,20,91,429,4,7,1,5,17,7,0,0,0,0,0,0,0
92,1988,26,Graduation,Alone,34176,1,0,1,2014-05-12,48,12,0,5,7,24,19,14,20,89,4,3,0,4,11,6,0,0,0,0,0,0,0
7055,1952,62,PhD,Together,61010,0,1,1,2012-10-09,628,57,0,888,0,57,0,0,76,1021,2,8,5,11,26,5,0,0,0,0,0,0,0
10240,1949,65,Graduation,Together,69372,0,0,0,2013-02-19,495,10,0,997,26,269,34,13,42,1381,1,10,4,6,21,4,0,0,0,1,1,1,3
3025,1958,56,Graduation,Single,49967,0,1,1,2013-07-08,356,4,0,212,6,69,4,12,3,306,3,6,1,5,15,7,0,0,0,0,0,0,0
9283,1978,36,Graduation,Single,60199,1,2,3,2013-09-12,290,49,0,8,1,7,2,0,0,18,1,0,0,3,4,4,0,0,0,0,0,0,0
9970,1977,37,Graduation,Together,55375,0,1,1,2013-10-17,255,3,0,42,11,57,10,28,14,162,1,1,1,6,9,2,0,0,0,0,0,0,0
2730,1955,59,Graduation,Single,80317,0,0,0,2013-08-20,313,64,0,536,11,387,149,91,57,1231,1,3,4,10,18,1,0,0,0,0,0,0,0
2795,1958,56,Master,Single,30523,2,1,3,2013-07-01,363,0,0,5,0,3,0,0,5,13,1,1,0,2,4,7,0,0,0,0,0,0,0
9260,1945,69,PhD,Married,70356,0,0,0,2012-11-05,601,20,0,1349,16,249,43,16,33,1706,2,10,6,9,27,6,0,0,0,0,0,0,0
8182,1984,30,Graduation,Married,23228,1,0,1,2014-01-05,175,91,0,53,3,49,7,4,5,121,4,3,0,4,11,8,0,0,0,0,0,0,0
10095,1975,39,PhD,Divorced,74165,0,0,0,2013-05-01,424,9,0,1001,12,240,16,12,12,1293,1,5,4,10,20,2,0,0,0,0,0,0,0
8475,1973,41,PhD,Married,157243,0,1,1,2014-03-01,120,98,0,20,2,1582,1,2,1,1608,15,0,22,0,37,0,0,0,0,0,0,0,0
4370,1966,48,Graduation,Together,43482,2,1,3,2013-11-13,228,83,0,18,1,32,6,3,28,88,3,2,0,4,9,6,0,0,0,0,0,0,0
10573,1953,61,Graduation,Divorced,62551,0,0,0,2013-11-18,223,27,0,125,16,98,134,21,27,421,1,6,7,4,18,3,0,0,1,0,0,0,1
3712,1959,55,Graduation,Divorced,52332,0,0,0,2013-08-28,305,63,0,212,5,33,7,0,2,259,1,3,2,6,12,4,0,0,0,1,0,0,1
6637,1988,26,Graduation,Single,66951,0,0,0,2013-11-02,239,46,0,277,162,305,173,76,124,1117,1,3,4,7,15,1,0,0,0,0,0,0,0
3152,1957,57,Graduation,Together,26091,1,1,2,2014-02-25,124,84,0,15,10,19,8,17,20,89,3,2,1,3,9,5,0,0,0,0,0,0,0
